🇨🇳组播1,#genre#
CCTV-1 综合[高清],http://114.253.246.148:14000/rtp/239.3.1.129:8008
CCTV-2 财经[高清],http://114.253.246.148:14000/rtp/239.3.1.60:8084
CCTV-3 综艺[高清],http://114.253.246.148:14000/rtp/239.3.1.172:8001
CCTV-4 国际[高清],http://114.253.246.148:14000/rtp/239.3.1.105:8092
CCTV-4 欧洲[高清],http://114.253.246.148:14000/rtp/239.3.1.213:4220
CCTV-4 美洲[高清],http://114.253.246.148:14000/rtp/239.3.1.214:4220
CCTV-5 体育[高清],http://114.253.246.148:14000/rtp/239.3.1.173:8001
CCTV-5+ 体育[高清],http://114.253.246.148:14000/rtp/239.3.1.130:8004
CCTV-6 电影[高清],http://114.253.246.148:14000/rtp/239.3.1.174:8001
CCTV-7 国防军事[高清],http://114.253.246.148:14000/rtp/239.3.1.61:8104
CCTV-8 电视剧[高清],http://114.253.246.148:14000/rtp/239.3.1.175:8001
CCTV-9 纪录[高清],http://114.253.246.148:14000/rtp/239.3.1.62:8112
CCTV-10 科教[高清],http://114.253.246.148:14000/rtp/239.3.1.63:8116
CCTV-11 戏曲[高清],http://114.253.246.148:14000/rtp/239.3.1.152:8120
CCTV-12 社会与法[高清],http://114.253.246.148:14000/rtp/239.3.1.64:8124
CCTV-13 新闻[高清],http://114.253.246.148:14000/rtp/239.3.1.124:8128
CCTV-14 少儿[高清],http://114.253.246.148:14000/rtp/239.3.1.65:8132
CCTV-15 音乐[高清],http://114.253.246.148:14000/rtp/239.3.1.153:8136
CCTV-16 奥林匹克[高清],http://114.253.246.148:14000/rtp/239.3.1.184:8001
CCTV-16 奥林匹克[4kHDR],http://114.253.246.148:14000/rtp/239.3.1.183:8001
CCTV-17 农业农村[高清],http://114.253.246.148:14000/rtp/239.3.1.151:8144
CGTN 新闻[高清],http://114.253.246.148:14000/rtp/239.3.1.215:4220
CGTN 记录[高清],http://114.253.246.148:14000/rtp/239.3.1.216:4220
CGTN 西班牙语[高清],http://114.253.246.148:14000/rtp/239.3.1.217:4220
CGTN 法语[高清],http://114.253.246.148:14000/rtp/239.3.1.218:4220
CGTN 阿拉伯语[高清],http://114.253.246.148:14000/rtp/239.3.1.219:4220
CGTN 俄语[高清],http://114.253.246.148:14000/rtp/239.3.1.220:4220
湖南卫视[高清],http://114.253.246.148:14000/rtp/239.3.1.132:8012
东方卫视[高清],http://114.253.246.148:14000/rtp/239.3.1.136:8032
浙江卫视[高清],http://114.253.246.148:14000/rtp/239.3.1.137:8036
江苏卫视[高清],http://114.253.246.148:14000/rtp/239.3.1.135:8028
深圳卫视[高清],http://114.253.246.148:14000/rtp/239.3.1.134:8020
广东卫视[高清],http://114.253.246.148:14000/rtp/239.3.1.142:8048
安徽卫视[高清],http://114.253.246.148:14000/rtp/239.3.1.211:8064
天津卫视[高清],http://114.253.246.148:14000/rtp/239.3.1.141:1234
重庆卫视[高清],http://114.253.246.148:14000/rtp/239.3.1.122:8160
山东卫视[高清],http://114.253.246.148:14000/rtp/239.3.1.209:8052
黑龙江卫视[高清],http://114.253.246.148:14000/rtp/239.3.1.133:8016
河北卫视[高清],http://114.253.246.148:14000/rtp/239.3.1.148:8072
辽宁卫视[高清],http://114.253.246.148:14000/rtp/239.3.1.210:8056
湖北卫视[高清],http://114.253.246.148:14000/rtp/239.3.1.138:8044
吉林卫视[高清],http://114.253.246.148:14000/rtp/239.3.1.240:8172
贵州卫视[高清],http://114.253.246.148:14000/rtp/239.3.1.149:8076
东南卫视[高清],http://114.253.246.148:14000/rtp/239.3.1.156:8148
江西卫视[高清],http://114.253.246.148:14000/rtp/239.3.1.123:8164
海南卫视,http://114.253.246.148:14000/rtp/239.3.1.45:8304
云南卫视,http://114.253.246.148:14000/rtp/239.3.1.26:8108
兵团卫视,http://114.253.246.148:14000/rtp/239.3.1.144:4120
厦门卫视,http://114.253.246.148:14000/rtp/239.3.1.143:4120
四川卫视,http://114.253.246.148:14000/rtp/239.3.1.29:8288
大湾区卫视,http://114.253.246.148:14000/rtp/239.3.1.161:8001
宁夏卫视,http://114.253.246.148:14000/rtp/239.3.1.46:8124
山西卫视,http://114.253.246.148:14000/rtp/239.3.1.42:8172
广西卫视,http://114.253.246.148:14000/rtp/239.3.1.39:8300
新疆卫视,http://114.253.246.148:14000/rtp/239.3.1.48:8160
河南卫视,http://114.253.246.148:14000/rtp/239.3.1.27:8128
甘肃卫视,http://114.253.246.148:14000/rtp/239.3.1.49:8188
西藏卫视,http://114.253.246.148:14000/rtp/239.3.1.47:8164
三沙卫视,http://114.253.246.148:14000/rtp/239.3.1.155:4120
陕西卫视,http://114.253.246.148:14000/rtp/239.3.1.41:8140
青海卫视,http://114.253.246.148:14000/rtp/239.3.1.44:8184
内蒙古卫视,http://114.253.246.148:14000/rtp/239.3.1.43:8176
CGTN 新闻[高清],http://114.253.246.148:14000/rtp/239.3.1.215:4220
CGTN 记录[高清],http://114.253.246.148:14000/rtp/239.3.1.216:4220
CGTN 西班牙语[高清],http://114.253.246.148:14000/rtp/239.3.1.217:4220
CGTN 法语[高清],http://114.253.246.148:14000/rtp/239.3.1.218:4220
CGTN 阿拉伯语[高清],http://114.253.246.148:14000/rtp/239.3.1.219:4220
CGTN 俄语[高清],http://114.253.246.148:14000/rtp/239.3.1.220:4220
睛彩竞技[高清],http://114.253.246.148:14000/rtp/239.3.1.125:8001
睛彩篮球[高清],http://114.253.246.148:14000/rtp/239.3.1.126:8001
睛彩羽毛球[高清],http://114.253.246.148:14000/rtp/239.3.1.127:8001
🇨🇳组播2,#genre#
CCTV1,http://113.57.103.216:9000/tsfile/live/0001_1.m3u8?key=txiptv
CCTV2,http://113.57.103.216:9000/tsfile/live/0002_1.m3u8?key=txiptv
CCTV3,http://113.57.103.216:9000/tsfile/live/0003_1.m3u8?key=txiptv
CCTV4,http://113.57.103.216:9000/tsfile/live/0004_1.m3u8?key=txiptv
CCTV5,http://113.57.103.216:9000/tsfile/live/0005_1.m3u8?key=txiptv
CCTV6,http://113.57.103.216:9000/tsfile/live/0006_1.m3u8?key=txiptv
CCTV7,http://113.57.103.216:9000/tsfile/live/0007_1.m3u8?key=txiptv
CCTV8,http://113.57.103.216:9000/tsfile/live/0008_1.m3u8?key=txiptv
CCTV9,http://113.57.103.216:9000/tsfile/live/0009_1.m3u8?key=txiptv
CCTV10,http://113.57.103.216:9000/tsfile/live/0010_1.m3u8?key=txiptv
CCTV11,http://113.57.103.216:9000/tsfile/live/0011_1.m3u8?key=txiptv
CCTV12,http://113.57.103.216:9000/tsfile/live/0012_1.m3u8?key=txiptv
CCTV13,http://113.57.103.216:9000/tsfile/live/0013_1.m3u8?key=txiptv
CCTV14,http://113.57.103.216:9000/tsfile/live/0014_1.m3u8?key=txiptv
CCTV15,http://113.57.103.216:9000/tsfile/live/0015_1.m3u8?key=txiptv
浙江卫视,http://113.57.103.216:9000/tsfile/live/0124_1.m3u8?key=txiptv
江苏卫视,http://113.57.103.216:9000/tsfile/live/0127_1.m3u8?key=txiptv
东方卫视,http://113.57.103.216:9000/tsfile/live/0107_1.m3u8?key=txiptv
广东卫视,http://113.57.103.216:9000/tsfile/live/0125_1.m3u8?key=txiptv
湖南卫视,http://113.57.103.216:9000/tsfile/live/0128_1.m3u8?key=txiptv
安徽卫视,http://113.57.103.216:9000/tsfile/live/0130_1.m3u8?key=txiptv
辽宁卫视,http://113.57.103.216:9000/tsfile/live/0121_1.m3u8?key=txiptv
重庆卫视,http://113.57.103.216:9000/tsfile/live/0142_1.m3u8?key=txiptv
四川卫视,http://113.57.103.216:9000/tsfile/live/0123_1.m3u8?key=txiptv
湖北卫视,http://113.57.103.216:9000/tsfile/live/0132_1.m3u8?key=txiptv
江西卫视,http://113.57.103.216:9000/tsfile/live/0138_1.m3u8?key=txiptv
东南卫视,http://113.57.103.216:9000/tsfile/live/0137_1.m3u8?key=txiptv
金鹰卡通,http://113.57.103.216:9000/tsfile/live/1000_1.m3u8?key=txiptv
BRTV少儿,http://113.57.103.216:9000/tsfile/live/1001_1.m3u8?key=txiptv
宁夏卫视,http://113.57.103.216:9000/tsfile/live/1003_1.m3u8?key=txiptv
广西卫视,http://113.57.103.216:9000/tsfile/live/1004_1.m3u8?key=txiptv
海南卫视,http://113.57.103.216:9000/tsfile/live/1005_1.m3u8?key=txiptv
河南卫视,http://113.57.103.216:9000/tsfile/live/1006_1.m3u8?key=txiptv
吉林卫视,http://113.57.103.216:9000/tsfile/live/1007_1.m3u8?key=txiptv
黑龙江卫视,http://113.57.103.216:9000/tsfile/live/1008_1.m3u8?key=txiptv
山西卫视,http://113.57.103.216:9000/tsfile/live/1009_1.m3u8?key=txiptv
云南国际,http://113.57.103.216:9000/tsfile/live/1010_1.m3u8?key=txiptv
深圳卫视,http://113.57.103.216:9000/tsfile/live/1015_1.m3u8?key=txiptv
天津卫视,http://113.57.103.216:9000/tsfile/live/1016_1.m3u8?key=txiptv
北京卫视,http://113.57.103.216:9000/tsfile/live/1017_1.m3u8?key=txiptv


🇨🇳移动V4,#genre#
CCTV1,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226231/index.m3u8
CCTV2,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226195/index.m3u8
CCTV3,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226397/index.m3u8
CCTV4,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226191/index.m3u8
CCTV5,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226395/index.m3u8
CCTV5+,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226221/index.m3u8
CCTV6,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226393/index.m3u8
CCTV7,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226192/index.m3u8
CCTV8,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226391/index.m3u8
CCTV9,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226197/index.m3u8
CCTV10,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226189/index.m3u8
CCTV11,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226240/index.m3u8
CCTV12,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226190/index.m3u8
CCTV13,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226233/index.m3u8
CCTV14,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226193/index.m3u8
CCTV15,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225785/index.m3u8
CCTV16,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226921/index.m3u8
CCTV17,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226198/index.m3u8
电视指南,http://dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226987/index.m3u8
风云足球,http://dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226984/index.m3u8
风云剧场,http://dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226950/index.m3u8
风云音乐,http://dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226953/index.m3u8
央视台球,http://dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226956/index.m3u8
第一剧场,http://dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226959/index.m3u8
女性时尚,http://dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226969/index.m3u8
